id,hue,saturation,value,svsum,grid_x,grid_y
59_14,0.106103821,0.135236851,0.750550776,0.885787627,38,7
50_5_3,0.107655317,0.135237363,0.699593954,0.834831317,38,8
M_2017_1,0.066758273,0.135249685,0.809752854,0.94500254,38,9
71_24,0.09550478,0.135255305,0.626712231,0.761967536,38,10
57_10,0.11316059,0.135259757,0.849897077,0.985156834,38,11
IMG_94.13,0.186387294,0.135293845,0.736740712,0.872034557,38,12
RC_11_2_a,0.089361879,0.135297805,0.487197712,0.622495517,38,13
IMG_88.26.1,0.306467482,0.135333407,0.652520315,0.787853722,38,14
IMG_M.2004.21.1,0.137703185,0.135356625,0.81441059,0.949767215,38,15
86_18_72_r2,0.291122893,0.135384512,0.562174042,0.697558554,38,16
87_20_18,0.335896554,0.135396702,0.720525327,0.855922029,38,17
93_1_200,0.038856519,0.135437925,0.89410702,1.029544945,38,18
IMG_80.32.6,0.121647162,0.135535116,0.639262299,0.774797414,38,19
IMG_80.27.5,0.124419158,0.135579984,0.663700902,0.799280886,38,20
SL_2015_3_1,0.094845066,0.135583749,0.583454623,0.719038372,38,21
1851_1,0.063978038,0.135586889,0.690854567,0.826441456,38,22
A_1_735_J_r,0.147347527,0.135594794,0.569835905,0.705430699,38,23
M_2008_2_070,0.221850549,0.135612926,0.667616496,0.803229422,38,24
91_46_2_a,0.140447385,0.135614569,0.488582738,0.624197307,38,25
46_4,0.095983305,0.135635783,0.614838134,0.750473917,38,26
53_6_H,0.217545308,0.13565574,0.76210669,0.897762431,38,27
A_1_2_bbbb,0.03417508,0.135659317,0.849226596,0.984885913,38,28
M_2012_2_8,0.092505099,0.135671228,0.633583001,0.769254229,38,29
IMG_88.6.104,0.650866112,0.135681781,0.615981479,0.75166326,38,30
64_5_a,0.029683065,0.135724173,0.609904635,0.745628808,38,31
IMG_81.11.2.B,0.706457227,0.135727348,0.654622036,0.790349384,38,32
